source_key,source_package,source_file,source_line,source_label,source_kind,source_title,source_chapter,source_section_path,source_proof_present,canonical_label,canonical_status,lean_module,lean_declaration,disposition_notes
Inverse_and_Sampling_Frontiers:p1:thm:inverse-transfer,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,438,p1:thm:inverse-transfer,theorem,Uniform inverse-transfer expansion,,Inverse Frontiers for the Fabius--Rvachev System / Bell-polynomial transfer from forward splines to quantiles / A general inverse perturbation theorem,yes,,,,,
Inverse_and_Sampling_Frontiers:p1:cor:c1-c2,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,494,p1:cor:c1-c2,corollary,Explicit coefficients through $16^{-n}$,,Inverse Frontiers for the Fabius--Rvachev System / Bell-polynomial transfer from forward splines to quantiles / The first two quantile corrections,yes,,,,,
Inverse_and_Sampling_Frontiers:p1:lem:filter-moments,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,553,p1:lem:filter-moments,lemma,All geometric moments of the Richardson filter,,Inverse Frontiers for the Fabius--Rvachev System / Bell-polynomial transfer from forward splines to quantiles / Gaussian \texorpdfstring{$q$,yes,,,,,
Inverse_and_Sampling_Frontiers:p1:thm:quantile-richardson,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,582,p1:thm:quantile-richardson,theorem,$q$-binomial acceleration of finite-prefix quantiles,,Inverse Frontiers for the Fabius--Rvachev System / Bell-polynomial transfer from forward splines to quantiles / Gaussian \texorpdfstring{$q$,yes,,,,,
Inverse_and_Sampling_Frontiers:p1:thm:exact-local-polynomial,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,642,p1:thm:exact-local-polynomial,theorem,Exact reciprocal-sinc local polynomial,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / The plateau mechanism,yes,,,,,
Inverse_and_Sampling_Frontiers:p1:thm:algebraic-germ,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,702,p1:thm:algebraic-germ,theorem,Exact algebraic quantile germ,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / The algebraic inverse branch,yes,,,,,
Inverse_and_Sampling_Frontiers:p1:thm:quarter-exact,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,799,p1:thm:quarter-exact,theorem,Exact quarter-quantile formula,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / The quarter anchor: an exact square root,yes,,,,,
Inverse_and_Sampling_Frontiers:p1:cor:Catalan-Richardson,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,858,p1:cor:Catalan-Richardson,corollary,Closed leading constant at every Richardson order,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / Catalan--Gaussian-binomial Richardson constants,yes,,,,,
Inverse_and_Sampling_Frontiers:p1:thm:quarter-positive-bounds,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,908,p1:thm:quarter-positive-bounds,theorem,Positive accelerated errors and sharp finite-depth bounds,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / Exact sign and two-sided bounds for every accelerated quarter error,yes,,,,,
Inverse_and_Sampling_Frontiers:p1:prop:Catalan-large-order,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,964,p1:prop:Catalan-large-order,proposition,Large-order Catalan coefficients,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / Exact sign and two-sided bounds for every accelerated quarter error,yes,,,,,
Inverse_and_Sampling_Frontiers:p1:prop:first-dyadic-germ-coefficient,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,988,p1:prop:first-dyadic-germ-coefficient,proposition,First algebraic-germ coefficient,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / A universal first coefficient at every inverse-dyadic anchor,yes,,,,,
Inverse_and_Sampling_Frontiers:p1:thm:phase-two-orders,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1099,p1:thm:phase-two-orders,theorem,Phase inversion through two nontrivial orders,,Inverse Frontiers for the Fabius--Rvachev System / Periodic Lambert--Bell inversion at the endpoint / Two-scale inversion of the saddle phase,yes,,,,,
