old_path,new_path,role,topic,source_commit,arrival_sha256,canonical_sha256,line_ending,status,notes
rvachev_lagrange_loop_report/rvachev_lagrange_loop_report.tex,chapters/Lagrange_Cardinal_Loops.tex,absorbed-source,finite-cardinal-loop,4544e9af6b94820402c69967be1dff3f85e43c1e,5d17373e36f6b12576a9add8c46fde57ae2e59b2b93410930fe64fb39f6dd647,,LF,absorbed,Equivalent loop statements merged into canonical right-inverse theorem
Lagrange_Rvachev_Loop_Package/Lagrange_Rvachev_Loop.tex,chapters/Lagrange_Cardinal_Loops.tex,absorbed-source,defect-and-conditioning,4544e9af6b94820402c69967be1dff3f85e43c1e,978aeadec8087c5c44881ccc22b87fa2c3c5579aa539a462621c5418d066e4fb,,LF,absorbed,Square completion ghost root-rate and amplitude barrier retained
lagrange_rvachev_loop_report_v3/lagrange_rvachev_loop.tex,chapters/Lagrange_Cardinal_Loops.tex,absorbed-source,q-lift-and-legendre-loop,,07587a69794e72f18af9075eae545f0cd5ae1694f318b961d287713a088a1465,,LF,absorbed,Distinct q row and spectral material retained in canonical chapters
Lagrange_Rvachev_Closed_Loop_Report/lagrange_up_loop.tex,chapters/Lagrange_Cardinal_Loops.tex,absorbed-source,appell-vandermonde,,727ccd7491844ffc4f2d0a82f351e052e83f50acbfcb76f7d12aad0059f95099,,LF,absorbed,Determinant prime support and instability retained
Rvachev_Lagrange_Loop_Report_v5/Rvachev_Lagrange_Loop_Report.tex,chapters/Lagrange_Cardinal_Loops.tex,absorbed-source,markov-projectors,4544e9af6b94820402c69967be1dff3f85e43c1e,118a09539feafbccf24e353e6e6c0c2e647236fb77822eadba721adc4c38808d,,LF,absorbed,Right inverse variation exact sequence and flags retained
Rvachev_Lagrange_Loop_Report_v6/Rvachev_Lagrange_Loop_Report_v6.tex,chapters/Lagrange_Cardinal_Loops.tex,absorbed-source,fixed-radius-loop,57c2ad230e11dfd4dc3aa9aabd2a35db51331415,e11a2c460ae2b5f33b80217a681dfae874398b8f22c8edcd8d351b5eaeeac0b2,,LF,absorbed,Companion assets missing at arrival
legendre_rvachev_closed_loop/legendre_rvachev_closed_loop.tex,chapters/Legendre_Spectral_Closure.tex,absorbed-source,spectral-closure,73c85cb0023615311fdc4a5ff4951767bddeff34,bebd04fe47a308328d717028876e78f93c89d6d33238e54690c16d32bfb6a2db,,LF,absorbed,Analysis biorthogonality closure flatness decay and units retained
Legendre_Rvachev_Closed_Loop_Report_v3/legendre_rvachev_closed_loop.tex,chapters/Legendre_Transmutation_Arithmetic.tex,absorbed-source,pullback-parity-roots,,8bbd922a51dbc6a132892c43c226d57fda220f0b41550c2d27cd90f97ed324d2,,LF,absorbed,Operator central determinant and Q12 result retained
Legendre_Rvachev_Closed_Loop_Report_v4/legendre_rvachev_closed_loop.tex,chapters/Legendre_Transmutation_Arithmetic.tex,absorbed-source,smoothed-appell-transmutation,,7eff3989000e82f72f4b9e9761f75b807ec95bf369f46b67d96abce207594274,,LF,absorbed,Distinct R family and augmented moment transform retained
Legendre_Rvachev_Self_Reconstruction/legendre_rvachev_self_reconstruction.tex,chapters/Legendre_Spectral_Closure.tex,absorbed-source,self-reconstruction,faa3a9b94ac0e71abdc53c36fdf428222e4d2a8c,23180ac9e6ed8bfc9c9d0e7e01d97890b2414768fef982d7a1563083fdba8376,,LF,absorbed,Energy refinement lifting and nonflattening retained
Legendre_Rvachev_Closed_Loop_Report_v3/Q12_sturm_certificate.txt,assets/evidence/legendre/root-geometry/Q12_sturm_certificate.txt,exact-certificate,root-geometry,,550ed1645e372f4a2e7c54f9bd05afb331e673ae73ff51f73f378925070a3b4f,550ed1645e372f4a2e7c54f9bd05afb331e673ae73ff51f73f378925070a3b4f,LF,retained,Arrival certificate retained byte-for-byte and replayed by the focused exact verifier
Legendre_Rvachev_Closed_Loop_Report_v3/sturm_real_root_counts.csv,assets/evidence/legendre/root-geometry/sturm_real_root_counts.csv,exact-table,root-geometry,,7626ea0429e0c748d895d7d8df2c4825175aa04cd8b9cf7d83bace7a7546b69a,7626ea0429e0c748d895d7d8df2c4825175aa04cd8b9cf7d83bace7a7546b69a,LF,retained,Arrival exact root-count table retained byte-for-byte through degree twenty
