n,k,upper,lower,match,ell,m,minimizer,candidates
7,3,2125,2125,1,3,4,"{""a"": 3, ""b"": 4, ""case"": ""bipartite"", ""d"": 1, ""gap"": 62, ""isolated"": 0, ""period_bound"": 4, ""proper_colorings"": 66}",24
7,4,15472,15472,1,3,4,"{""a"": 3, ""b"": 4, ""case"": ""bipartite"", ""d"": 1, ""gap"": 912, ""isolated"": 0, ""period_bound"": 12, ""proper_colorings"": 924}",24
7,5,71037,71037,1,3,4,"{""a"": 3, ""b"": 4, ""case"": ""bipartite"", ""d"": 1, ""gap"": 7088, ""isolated"": 0, ""period_bound"": 12, ""proper_colorings"": 7100}",24
7,6,243438,243438,1,3,4,"{""a"": 3, ""b"": 4, ""case"": ""bipartite"", ""d"": 1, ""gap"": 36498, ""isolated"": 0, ""period_bound"": 12, ""proper_colorings"": 36510}",24
8,3,6452,6452,1,3,5,"{""a"": 3, ""b"": 5, ""case"": ""bipartite"", ""d"": 1, ""gap"": 109, ""isolated"": 0, ""period_bound"": 5, ""proper_colorings"": 114}",31
8,4,63403,63403,1,3,5,"{""a"": 3, ""b"": 5, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2133, ""isolated"": 0, ""period_bound"": 15, ""proper_colorings"": 2148}",31
8,5,369020,369020,1,3,5,"{""a"": 3, ""b"": 5, ""case"": ""bipartite"", ""d"": 1, ""gap"": 21605, ""isolated"": 0, ""period_bound"": 15, ""proper_colorings"": 21620}",31
8,6,1539561,1539561,1,3,5,"{""a"": 3, ""b"": 5, ""case"": ""bipartite"", ""d"": 1, ""gap"": 140055, ""isolated"": 0, ""period_bound"": 15, ""proper_colorings"": 140070}",31
8,7,5101594,5101594,1,3,5,"{""a"": 3, ""b"": 5, ""case"": ""bipartite"", ""d"": 1, ""gap"": 663207, ""isolated"": 0, ""period_bound"": 15, ""proper_colorings"": 663222}",31
9,3,19550,19550,1,4,5,"{""a"": 4, ""b"": 5, ""case"": ""bipartite"", ""d"": 1, ""gap"": 133, ""isolated"": 0, ""period_bound"": 5, ""proper_colorings"": 138}",37
9,4,258360,258360,1,4,5,"{""a"": 4, ""b"": 5, ""case"": ""bipartite"", ""d"": 1, ""gap"": 3784, ""isolated"": 0, ""period_bound"": 20, ""proper_colorings"": 3804}",37
9,5,1902365,1902365,1,4,5,"{""a"": 4, ""b"": 5, ""case"": ""bipartite"", ""d"": 1, ""gap"": 50760, ""isolated"": 0, ""period_bound"": 20, ""proper_colorings"": 50780}",37
9,6,9657446,9657446,1,4,5,"{""a"": 4, ""b"": 5, ""case"": ""bipartite"", ""d"": 1, ""gap"": 420250, ""isolated"": 0, ""period_bound"": 20, ""proper_colorings"": 420270}",37
9,7,37886085,37886085,1,4,5,"{""a"": 4, ""b"": 5, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2467522, ""isolated"": 0, ""period_bound"": 20, ""proper_colorings"": 2467542}",37
9,8,123014780,123014780,1,4,5,"{""a"": 4, ""b"": 5, ""case"": ""bipartite"", ""d"": 1, ""gap"": 11202948, ""isolated"": 0, ""period_bound"": 20, ""proper_colorings"": 11202968}",37
10,3,58654,58654,1,3,7,"{""a"": 3, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 395, ""isolated"": 0, ""period_bound"": 7, ""proper_colorings"": 402}",45
10,4,1035217,1035217,1,3,7,"{""a"": 3, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 13359, ""isolated"": 0, ""period_bound"": 21, ""proper_colorings"": 13380}",45
10,5,9544826,9544826,1,3,7,"{""a"": 3, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 220799, ""isolated"": 0, ""period_bound"": 21, ""proper_colorings"": 220820}",45
10,6,58260447,58260447,1,3,7,"{""a"": 3, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2205729, ""isolated"": 0, ""period_bound"": 21, ""proper_colorings"": 2205750}",45
10,7,267231328,267231328,1,3,7,"{""a"": 3, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 15243921, ""isolated"": 0, ""period_bound"": 21, ""proper_colorings"": 15243942}",45
10,8,993874253,993874253,1,3,7,"{""a"": 3, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 79867571, ""isolated"": 0, ""period_bound"": 21, ""proper_colorings"": 79867592}",45
10,9,3148937022,3148937022,1,3,7,"{""a"": 3, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 337847379, ""isolated"": 0, ""period_bound"": 21, ""proper_colorings"": 337847400}",45
