"source_path","proposed_canonical_destination","action","category","rationale","source_sha256","canonical_sha256"
"inverse_q_analog_functions_report/finite_pochhammer_branch_atlas.pdf","assets/experiments/functions/figures/finite_pochhammer_branch_atlas.pdf","migrate","vector-figure","Unique branch-atlas rendering generated by the functions experiment; retain the vector PDF in its provenance lane.","d0cd5612db8f8127d944cf330599f37490026844cefa1cd73b3d3c44076d067a","d0cd5612db8f8127d944cf330599f37490026844cefa1cd73b3d3c44076d067a"
"inverse_q_analog_functions_report/inverse_q_analog_functions.pdf","","retire","report-pdf","Superseded narrative rendering; the single canonical volume replaces it and Git history preserves the original.","7b82bf1944ad3db0bff90f13bfffe88614fc59161de7463ed8ba74b2a29e404e","NOT_RETAINED"
"inverse_q_analog_functions_report/inverse_q_analog_functions.tex","","retire","report-source","Its statements and proofs are deduplicated into the canonical volume and tracked result-by-result in the theorem concordance.","b5b087b21e6de71a87e9161c772e9b0944119e27a737818ac603b4fd7e8f459f","NOT_RETAINED"
"inverse_q_analog_functions_report/inverse_q_analogs_experiments.py","assets/experiments/functions/scripts/inverse_q_analogs_experiments.py","migrate","python-script","Unique self-contained experiment; after copying under the scripts convention adjust its experiment root to the parent of scripts and route logs and figures to sibling directories.","c88c54ee7c361e4617a3be99a33cc38cefa2974f91ba07a9526f015464261c59","f7d24fb2d7e715ffd4dbc2740d69ff24caa96a3211e011fda6fd6ce92c3fe738"
"inverse_q_analog_functions_report/log_periodic_correction.pdf","assets/experiments/functions/figures/log_periodic_correction.pdf","migrate","vector-figure","Unique vector illustration of the log-periodic correction; retain with the experiment that regenerates it.","c3ae3ab2250d02b9bea9b63f9a58396769d5ab523248d4ba887b95abf8c36eca","c3ae3ab2250d02b9bea9b63f9a58396769d5ab523248d4ba887b95abf8c36eca"
"inverse_q_analog_functions_report/numerical_results.tex","","retire","generated-latex-fragment","Report-only generated table fragment; the canonical volume does not input it and the migrated program can reproduce it as a transient byproduct.","4097bc424ec08e952124c50bbf6a38b09cc6204f181c751bc64d713fb858e979","NOT_RETAINED"
"inverse_q_analog_functions_report/numerical_results.txt","assets/experiments/functions/output/numerical_results.txt","migrate","computational-log","Unique committed 80-digit audit log regenerated and printed by the functions experiment.","7c8fb463029798dc2fd6a59a247dcc6a5ddd209dd2087f8daaa30769fa9d3953","7c8fb463029798dc2fd6a59a247dcc6a5ddd209dd2087f8daaa30769fa9d3953"
"inverse_q_analog_functions_report/qgamma_inverse_branches.pdf","assets/experiments/functions/figures/qgamma_inverse_branches.pdf","migrate","vector-figure","Unique q-gamma branch rendering for this experiment; retain separately despite a same-named but content-distinct figure in another lane.","96c95ede5b6c330948b9b72a89cd51494afa87305122f697ffaa4413e23ca54f","96c95ede5b6c330948b9b72a89cd51494afa87305122f697ffaa4413e23ca54f"
"inverse_q_analog_functions_report/README.md","","retire","source-readme","Scope, commands, dependencies, and proof-versus-evidence status are absorbed into the canonical asset README and provenance ledger.","26fabb8e091e5dbff2bd932b6fad3e4e2d4d011bbc4e62e1dcc0348cfdbf74a5","NOT_RETAINED"
"inverse_q_analog_functions_report/SHA256SUMS","","retire","checksum-ledger","Package-local paths become obsolete after migration; replace this verified historical ledger with a canonical ledger only after final destinations stabilize.","86897f85124692b98113055ed7290d02565298400bb3735f41da4df3c8477718","NOT_RETAINED"
