source_key,source_package,source_file,source_line,source_label,source_kind,source_title,source_section_path,source_proof_present,canonical_label,canonical_status,lean_module,lean_declaration,disposition_notes
dyadic:thm:moment-egf,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,503,thm:moment-egf,theorem,Moment EGF,Common foundations / Moments,yes,thm:moment-egf,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:dyadic-values,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,570,thm:dyadic-values,theorem,Dyadic Appell--Thue--Morse convolution,"Common foundations / Exact dyadic values: one identity, three algorithms",yes,thm:dyadic-values,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:unlabelled-example-001,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,609,,example,,"Common foundations / Exact dyadic values: one identity, three algorithms",no,thm:dyadic-values,not applicable,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
dyadic:alg:stream,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,637,alg:stream,algorithm,Streaming exact comb,"Common foundations / Exact dyadic values: one identity, three algorithms",no,alg:stream,not applicable,,,Retained under its canonical prefixed label.
dyadic:prop:roots-of-unity,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,738,prop:roots-of-unity,proposition,Dyadic phase as a roots-of-unity filter,Comb sums and quadrature / The dyadic combs / Shifted and midpoint combs,yes,prop:roots-of-unity,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:row-ogf,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,812,thm:row-ogf,theorem,Complete sample-row generating function,Comb sums and quadrature / The rational row generating function / Pole collapse,yes,thm:row-ogf,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:cor:euler-powers,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,895,cor:euler-powers,corollary,All powers from one polynomial,Comb sums and quadrature / The rational row generating function / Comb sums as Euler derivatives of the row,no,cor:euler-powers,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:bernoulli-TM,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,930,thm:bernoulli-TM,theorem,"Exact closed form for every $m,p$",Comb sums and quadrature / Closed forms for nonnegative integer powers / The Bernoulli--Thue--Morse formula,yes,thm:bernoulli-TM,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:Bell-Prouhet,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,977,thm:Bell-Prouhet,theorem,Bell formula for complete Thue--Morse power blocks,Comb sums and quadrature / Closed forms for nonnegative integer powers / Bell--Prouhet collapse of the signed block,yes,thm:Bell-Prouhet,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:cor:pplus2,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1022,cor:pplus2,corollary,Only $p+2$ signed moments survive,Comb sums and quadrature / Closed forms for nonnegative integer powers / Bell--Prouhet collapse of the signed block,yes,cor:pplus2,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:lem:gp-hat,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1099,lem:gp-hat,lemma,Fourier coefficients of $x^pF(x)$,Comb sums and quadrature / The exact Euler--Maclaurin collapse / Trapezoidal aliasing through the characteristic function,yes,lem:gp-hat,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:EM-remainder,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1143,thm:EM-remainder,theorem,Euler--Maclaurin with exact alias remainder,Comb sums and quadrature / The exact Euler--Maclaurin collapse / Trapezoidal aliasing through the characteristic function,yes,thm:EM-remainder,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:EM-collapse,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1188,thm:EM-collapse,theorem,Exact Euler--Maclaurin collapse,Comb sums and quadrature / The exact Euler--Maclaurin collapse / The collapse and its threshold,yes,thm:EM-collapse,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:F-stabilization,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1250,thm:F-stabilization,corollary,Exact right-comb formula,Comb sums and quadrature / The exact Euler--Maclaurin collapse / One-formula closed form and low-degree examples,yes,thm:F-stabilization,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:odd-defect,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1322,thm:odd-defect,theorem,First odd-level defect,Comb sums and quadrature / The first defect and spectral Dirichlet values / The odd-level defect series,yes,thm:odd-defect,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:D-rational,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1399,thm:D-rational,theorem,Spectral rationality,Comb sums and quadrature / The first defect and spectral Dirichlet values / Exact rational multiples of powers of \texorpdfstring{$\pi$,yes,thm:D-rational,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:conj:exact-degree,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1506,conj:exact-degree,conjecture,Sharp threshold,Comb sums and quadrature / The first defect and spectral Dirichlet values / Sharpness and positivity,no,conj:exact-degree,conjecture,,,Retained under its canonical prefixed label.
dyadic:conj:jets,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1530,conj:jets,conjecture,Arithmetic closure of higher alias jets,Comb sums and quadrature / The first defect and spectral Dirichlet values / Sharpness and positivity,no,conj:jets,conjecture,,,Retained under its canonical prefixed label.
dyadic:prob:D-recurrence,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1542,prob:D-recurrence,problem,Functional equations for $D$,Comb sums and quadrature / The first defect and spectral Dirichlet values / Sharpness and positivity,no,prob:D-recurrence,open problem,,,Retained under its canonical prefixed label.
dyadic:thm:shifted-exactness,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1576,thm:shifted-exactness,theorem,Shifted dyadic exactness,Comb sums and quadrature / Shifted Rvachev quadrature and the alias calculus / Exact polynomial quadrature for every shift,yes,thm:shifted-exactness,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:cor:up-exact-specials,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1622,cor:up-exact-specials,corollary,,Comb sums and quadrature / Shifted Rvachev quadrature and the alias calculus / Exact polynomial quadrature for every shift,no,cor:up-exact-specials,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:prop:alias-layers,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1656,prop:alias-layers,proposition,Valuation hierarchy,Comb sums and quadrature / Shifted Rvachev quadrature and the alias calculus / The finite \texorpdfstring{$2$,yes,prop:alias-layers,human-proved frontier result,,,Retained under its canonical prefixed label.
